term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust
coercion,1,0,1,1,0,1,0,1,0,0
coexist,0,0,0,0,0,0,1,0,0,1
coffin,0,0,0,1,0,1,0,1,0,0
cogent,0,0,0,0,0,0,1,0,0,1
cohesive,0,0,0,0,0,0,1,0,0,1
coldness,1,0,1,1,0,1,0,1,0,0
collapse,0,0,1,1,0,1,0,1,0,0
collectively,0,0,0,0,0,0,1,0,0,1
collision,1,0,0,0,0,1,0,0,0,0
collusion,1,0,1,1,0,1,0,1,0,0
colonel,0,0,0,0,0,0,1,0,0,1
coma,0,0,0,1,0,1,0,1,0,0
comatose,0,0,0,1,0,1,0,1,0,0
combat,1,0,0,1,0,1,0,0,0,0
combatant,1,0,0,1,0,1,0,0,0,0
combative,1,0,0,1,0,1,0,0,0,0
comfort,0,1,0,0,1,0,1,0,0,1
commandant,0,0,0,0,0,0,1,0,0,1
commanding,0,0,0,0,0,0,1,0,0,1
commemorate,0,1,0,0,1,0,1,1,0,0
commemoration,0,1,0,0,1,0,1,0,0,0
commemorative,0,1,0,0,0,0,1,0,0,0
commendable,0,0,0,0,1,0,1,0,0,1
committal,0,0,0,0,0,1,0,1,0,0
committed,0,0,0,0,0,0,1,0,0,1
commodore,0,0,0,0,0,0,1,0,0,1
commonplace,0,1,0,0,0,0,0,0,0,1
commonwealth,0,0,0,0,0,0,1,0,0,1
commotion,1,0,0,0,0,1,0,0,0,0
communicate,0,0,0,0,0,0,1,0,0,1
communion,0,0,0,0,1,0,1,0,0,1
communism,1,0,0,1,0,1,0,1,0,0
companion,0,0,0,0,1,0,1,0,0,1
compassion,0,0,0,1,0,0,1,0,0,0
compensate,0,1,0,0,1,0,1,0,1,1
competence,0,0,0,0,0,0,1,0,0,1
competency,0,0,0,0,0,0,1,0,0,1
competent,0,0,0,0,0,0,1,0,0,1
competition,0,1,0,0,0,1,0,0,0,0
complain,1,0,0,0,0,1,0,1,0,0
complaint,1,0,0,0,0,1,0,0,0,0
complement,0,1,0,0,1,0,1,0,1,1
completing,0,1,0,0,1,0,1,0,0,0
completion,0,1,0,0,1,0,1,0,0,0
compliance,0,0,0,0,0,0,1,0,0,1
complicate,1,0,0,0,0,1,0,0,0,0
complicity,0,0,0,0,0,1,1,0,0,0
compliment,0,1,0,0,1,0,1,0,1,1
compost,0,0,1,0,0,1,0,0,0,0
compulsion,1,0,0,0,0,1,0,0,0,0
comrade,0,0,0,0,0,0,1,0,0,1
conceal,0,0,0,0,0,1,0,1,0,0
concealed,0,1,0,1,0,1,0,0,1,0
concealment,1,1,0,1,0,1,0,0,0,0
concerned,0,0,0,1,0,0,0,1,0,0
conciliation,0,0,0,0,1,0,1,0,0,1
concord,0,0,0,0,0,0,1,0,0,1
concordance,0,0,0,0,0,0,1,0,0,1
concussion,1,0,0,0,0,1,0,1,0,0
condemn,1,0,0,0,0,1,0,0,0,0
condemnation,1,1,1,1,0,1,0,1,0,0
condescension,1,0,1,0,0,1,0,1,0,0
condolence,0,0,0,0,0,0,1,1,0,0
confederate,0,0,0,0,0,0,1,0,0,1
confess,0,0,0,0,0,1,1,0,0,1
confession,0,1,0,1,0,1,0,1,1,0
confessional,0,0,0,1,0,0,0,0,0,1
confidence,0,0,0,1,1,0,1,0,0,1
confident,0,0,0,0,1,0,1,0,0,1
confine,1,0,0,1,0,1,0,1,0,0
confined,1,0,1,1,0,1,0,1,0,0
confinement,1,0,0,1,0,1,0,1,0,0
confirmed,0,0,0,0,0,0,1,0,0,1
confiscate,1,0,0,0,0,1,0,1,0,0
conflagration,1,0,0,1,0,1,0,0,0,0
conflict,1,0,0,1,0,1,0,1,0,0
confusion,1,0,0,1,0,1,0,0,0,0
congratulatory,0,0,0,0,1,0,1,0,0,0
congregation,0,0,0,0,0,0,1,0,0,1
congress,0,0,1,0,0,0,0,0,0,1
congruence,0,0,0,0,0,0,1,0,0,1
conjure,0,1,0,0,0,0,0,0,1,0
connoisseur,0,0,0,0,1,0,1,0,0,1
conquest,1,0,0,1,0,1,0,0,0,0
conscience,0,0,0,0,0,0,1,0,0,1
conscientious,0,0,0,0,0,0,1,0,0,1
consecration,0,1,0,0,1,0,1,1,0,1
conservation,0,1,0,0,0,0,1,0,0,1
considerate,0,0,0,0,0,0,1,0,0,1
consistency,0,0,0,0,0,0,1,0,0,1
console,0,0,0,0,0,0,1,1,0,0
conspirator,1,1,1,1,0,1,0,0,0,0
conspire,0,0,0,1,0,1,0,0,0,0
constancy,0,0,0,0,0,0,1,0,0,1
constant,0,0,0,0,0,0,1,0,0,1
consternation,1,0,0,1,0,1,0,0,0,0
constipation,0,0,1,0,0,1,0,0,0,0
constitutional,0,0,0,0,0,0,1,0,0,1
constrain,0,0,0,1,0,1,0,0,0,0
constraint,1,0,0,1,0,1,0,1,0,0
contagion,0,1,1,1,0,1,0,0,0,0
contagious,0,0,1,1,0,1,0,0,0,0
contaminate,0,0,1,0,0,1,0,0,0,0
contaminated,0,0,1,1,0,1,0,1,0,0
contamination,0,0,1,0,0,1,0,0,0,0
contempt,1,0,1,1,0,1,0,0,0,0
contemptible,1,0,1,0,0,1,0,0,0,0
contemptuous,1,0,0,0,0,1,0,0,0,0
content,0,0,0,0,1,0,1,0,0,1
contentious,1,0,1,1,0,1,0,0,0,0
continue,0,1,0,0,0,0,1,0,0,1
contraband,1,0,1,1,0,1,0,0,0,0
contradict,1,0,0,0,0,1,0,0,0,0
contributor,0,0,0,0,0,0,1,0,0,1
controversial,1,0,0,0,0,1,0,0,0,0
convent,0,0,0,0,0,0,1,0,0,1
convict,1,0,1,1,0,1,0,1,0,0
convince,0,1,0,0,0,0,1,0,0,1
coop,1,0,1,0,0,1,0,0,0,0
cooperating,0,0,0,0,0,0,1,0,0,1
cooperation,0,0,0,0,0,0,1,0,0,1
cooperative,0,0,0,0,0,0,1,0,0,1
cop,0,0,0,1,0,0,0,0,0,1
copycat,1,0,1,0,0,1,0,0,0,0
coronation,0,0,0,0,1,0,1,0,0,1
corporation,0,0,0,0,0,0,1,0,0,1
corpse,0,0,1,0,0,1,0,1,0,0
correspondence,0,1,0,0,0,0,1,0,0,0
corroborate,0,0,0,0,0,0,1,0,0,1
corrosive,0,0,0,1,0,1,0,0,0,0
corrupting,1,0,1,1,0,1,0,1,0,0
corruption,0,0,1,0,0,1,0,0,0,0
cosmopolitan,0,0,0,0,0,0,1,0,0,1
cough,0,0,1,0,0,1,0,0,0,0
council,0,1,0,0,0,0,1,0,0,1
counsel,0,0,0,0,0,0,1,0,0,1
counsellor,1,0,0,1,0,1,0,0,0,1
counselor,0,0,0,0,0,0,1,0,0,1
count,0,0,0,0,0,0,1,0,0,1
coup,1,0,0,0,0,0,0,0,1,0
courageous,0,0,0,1,0,0,1,0,0,0
court,1,1,0,1,0,0,0,0,0,0
courtship,0,1,0,0,1,0,1,0,0,1
cove,0,1,1,1,1,0,1,0,0,0
covenant,0,0,0,0,0,0,1,0,0,1
coward,0,0,1,1,0,1,0,1,0,0
cowardice,0,0,0,1,0,1,0,0,0,0
cowardly,0,0,0,1,0,1,0,0,0,0
crabby,1,0,0,0,0,1,0,0,0,0
cracked,1,0,0,1,0,1,0,0,0,0
cradle,0,1,0,0,1,0,1,0,0,1
cramp,0,1,0,0,0,1,0,0,0,0
cranky,1,0,0,0,0,1,0,0,0,0
crap,0,0,1,0,0,1,0,0,0,0
crash,0,0,0,1,0,1,0,1,1,0
crawl,0,0,1,0,0,1,0,0,0,0
crazed,1,0,0,1,0,1,0,0,0,0
crazy,1,0,0,1,0,1,0,1,0,0
cream,0,1,0,0,1,0,1,0,1,0
create,0,0,0,0,1,0,1,0,0,0
creature,0,0,1,1,0,1,0,0,0,0
credence,0,0,0,0,0,0,1,0,0,1
credential,0,0,0,0,0,0,1,0,0,1
credibility,0,0,0,0,0,0,1,0,0,1
credible,0,0,0,0,0,0,1,0,0,1
credit,0,0,0,0,0,0,1,0,0,1
creditable,0,0,0,0,0,0,1,0,0,1
crescendo,0,1,0,0,1,0,1,0,1,1
crime,1,0,0,0,0,1,0,0,0,0
criminal,1,0,1,1,0,1,0,0,0,0
criminality,1,0,1,1,0,1,0,0,0,0
cringe,0,0,1,1,0,1,0,1,0,0
cripple,0,0,0,1,0,1,0,1,0,0
crippled,0,0,0,0,0,1,0,1,0,0
crisp,0,0,0,0,0,1,0,0,0,1
criticism,1,0,0,0,0,1,0,1,0,0
criticize,1,0,1,1,0,1,0,1,0,0
cross,1,0,0,1,0,1,0,1,0,0
crouching,0,0,0,1,0,1,0,0,0,0
crowning,0,1,0,0,1,0,1,0,1,1
crucial,0,0,0,0,0,0,1,0,0,1
crucifixion,1,0,1,1,0,1,0,1,0,0
crude,0,0,1,0,0,1,0,0,0,0
cruel,1,0,1,1,0,1,0,1,0,0
cruelly,1,0,0,1,0,1,0,0,0,0
cruelty,1,0,1,1,0,1,0,1,0,0
crumbling,0,0,0,0,0,1,0,1,0,0
crunch,1,0,0,0,0,1,0,0,0,0
crusade,1,0,0,1,0,1,0,0,0,0
crushed,1,0,1,1,0,1,0,1,0,0
crushing,1,0,1,1,0,1,0,0,0,0
crusty,0,0,1,0,0,1,0,0,0,0
cry,0,0,0,0,0,1,0,1,0,0
crying,0,0,0,0,0,1,0,1,0,0
crypt,0,0,0,1,0,1,0,1,0,0
cuckold,0,0,1,0,0,1,0,0,0,0
cuddle,0,0,0,0,1,0,1,0,0,1
culinary,0,0,0,0,0,0,1,0,0,1
cult,0,0,0,1,0,1,0,0,0,0
cultivate,0,1,0,0,0,0,1,0,0,1
cumbersome,0,0,0,0,0,1,0,1,0,0
cunning,0,0,0,0,0,1,1,0,0,0
cupping,0,0,1,1,0,1,0,1,0,0
cur,1,0,1,1,0,1,0,0,0,0
curable,0,0,0,0,0,0,1,0,0,1
curiosity,0,1,0,0,0,0,1,0,1,0
curse,1,0,1,1,0,1,0,1,0,0
cursed,1,0,0,1,0,1,0,1,0,0
cursing,1,0,1,0,0,1,0,0,0,0
cutter,0,0,0,1,0,1,0,0,0,0
cutthroat,1,0,0,1,0,1,0,0,0,0
cutting,1,0,1,1,0,1,0,1,0,0
cyanide,0,0,0,1,0,1,0,0,0,0
cyclone,0,0,0,1,0,1,0,0,1,0
cyst,0,0,0,1,0,1,0,1,0,0
cytomegalovirus,0,0,0,0,0,1,0,1,0,0
dabbling,1,0,1,0,0,1,0,0,0,0
daemon,1,0,1,1,0,1,0,1,1,0
daft,0,0,1,0,0,1,0,0,0,0
dagger,0,0,0,1,0,1,0,0,0,0
damage,1,0,1,0,0,1,0,1,0,0
damages,0,0,0,0,0,1,0,1,0,0
dame,1,0,1,0,0,0,1,0,0,1
damn,1,0,1,0,0,1,0,0,0,0
damnation,1,0,0,1,0,1,0,1,0,0
dance,0,0,0,0,1,0,1,0,0,1
dandy,0,0,1,0,0,1,0,0,0,0
danger,0,0,0,1,0,1,0,1,0,0
dangerous,0,0,0,1,0,1,0,0,0,0
dare,0,1,0,0,0,0,0,0,0,1
darken,0,0,0,1,0,1,0,1,0,0
darkened,0,0,0,1,0,1,0,1,0,0
darkness,1,0,0,1,0,1,0,1,0,0
darling,0,0,0,0,1,0,1,0,0,1
dashed,1,0,0,1,0,1,0,1,0,0
dastardly,1,0,1,1,0,1,0,0,0,0
daughter,0,0,0,0,1,0,1,0,0,0
dawn,0,1,0,0,1,0,1,0,1,1
deadly,1,0,1,1,0,1,0,1,0,0
deal,0,1,0,0,1,0,1,0,1,1
death,1,1,1,1,0,1,0,1,1,0
debacle,0,0,0,1,0,1,0,1,0,0
debauchery,0,0,1,1,0,1,0,0,0,0
debris,0,0,1,0,0,1,0,0,0,0
debt,0,0,0,0,0,1,0,1,0,0
decay,0,0,0,1,0,1,0,1,0,0
decayed,0,0,1,0,0,1,0,1,0,0
deceased,0,0,0,0,0,1,0,1,0,0
deceit,1,0,1,1,0,1,0,1,1,0
deceitful,0,0,1,0,0,1,0,1,0,0
deceive,1,0,1,0,0,1,0,1,0,0
deceived,1,0,0,0,0,1,0,0,0,0
deceiving,0,0,0,0,0,1,0,0,0,1
decomposition,0,0,1,1,0,1,0,1,0,0
decry,1,0,0,0,0,1,0,0,0,0
defamation,0,0,1,1,0,1,0,0,0,0
defamatory,1,0,0,0,0,1,0,0,0,0
default,0,0,1,1,0,1,0,1,0,0
defeated,0,0,0,0,0,1,0,1,0,0
defect,1,0,0,0,0,1,0,0,0,0
defection,0,0,0,1,0,1,0,0,0,0
defective,0,0,1,0,0,1,0,0,0,0
defend,0,0,0,1,0,0,1,0,0,0
defendant,1,0,0,1,0,0,0,1,0,0
defended,0,0,0,0,0,0,1,0,0,1
defender,0,0,0,0,0,0,1,0,0,1
defense,1,1,0,1,0,0,1,0,0,0
defenseless,0,0,0,1,0,1,0,1,0,0
deference,0,0,0,0,0,0,1,0,0,1
defiance,1,0,1,1,0,1,0,0,0,0
defiant,1,0,0,0,0,1,0,0,0,0
definitive,0,0,0,0,0,0,1,0,0,1
deflate,1,0,0,0,0,1,0,1,0,0
deflation,0,0,0,1,0,1,0,0,0,0
deform,0,0,1,0,0,1,0,0,0,0
deformed,0,0,1,0,0,1,0,1,0,0
deformity,0,0,1,1,0,1,0,1,0,0
defraud,1,0,1,0,0,1,0,0,0,0
defunct,0,0,0,0,0,1,0,1,0,0
defy,1,0,0,1,0,1,0,1,1,0
degeneracy,1,0,1,0,0,1,0,1,0,0
degrade,0,0,1,0,0,1,0,0,0,0
degrading,0,0,1,1,0,1,0,1,0,0
delay,1,0,1,1,0,1,0,1,0,0
delegate,0,0,0,0,0,0,1,0,0,1
deleterious,1,0,1,1,0,1,0,0,0,0
delicious,0,0,0,0,1,0,1,0,0,0
delight,0,1,0,0,1,0,1,0,0,0
delighted,0,1,0,0,1,0,1,0,1,0
delightful,0,1,0,0,1,0,1,0,0,1
delinquent,1,0,1,0,0,1,0,0,0,0
delirious,0,0,0,0,0,1,0,1,0,0
delirium,0,0,1,0,0,1,0,1,0,0
deliverance,0,1,0,0,1,0,1,0,0,1
delivery,0,1,0,0,0,0,1,0,0,0
deluge,0,0,0,1,0,1,0,1,1,0
delusion,1,0,0,1,0,1,0,1,0,0
delusional,1,0,0,1,0,1,0,0,0,0
demand,1,0,0,0,0,1,0,0,0,0
demented,0,0,0,1,0,1,0,0,0,0
dementia,0,0,0,1,0,1,0,1,0,0
demise,0,0,0,1,0,1,0,1,0,0
demolish,1,0,0,0,0,1,0,1,0,0
demon,1,0,1,1,0,1,0,1,0,0
demonic,1,0,1,1,0,1,0,1,0,0
demonstrative,0,0,0,0,1,0,1,1,0,0
demoralized,0,0,0,1,0,1,0,1,0,0
denied,0,0,0,0,0,1,0,1,0,0
denounce,1,0,1,0,0,1,0,0,0,0
denunciation,1,0,1,1,0,1,0,0,0,0
deny,1,0,0,0,0,1,0,0,0,0
denying,0,1,0,0,0,1,0,0,0,0
depart,0,1,0,0,0,0,0,1,0,0
departed,0,0,0,0,0,1,0,1,0,0
departure,0,0,0,0,0,1,0,1,0,0
depend,0,1,0,0,0,0,0,0,0,1
dependence,0,0,0,1,0,1,0,1,0,0
dependent,0,0,0,0,0,1,1,0,0,1
deplorable,1,0,1,1,0,1,0,1,0,0
deplore,1,0,1,0,0,1,0,1,0,0
deport,0,0,0,1,0,1,0,1,0,0
deportation,1,0,0,1,0,1,0,1,0,0
depraved,1,1,1,1,0,1,0,1,0,0
depravity,1,0,1,0,0,1,0,0,0,0
depreciate,1,0,1,0,0,1,0,0,0,0
depreciated,1,0,1,1,0,1,0,1,0,0
depreciation,0,0,0,1,0,1,0,0,0,0
depress,0,0,0,1,0,1,0,1,0,0
depressed,1,0,0,1,0,1,0,1,0,0
depressing,0,0,1,0,0,1,0,1,0,0
depression,0,0,0,0,0,1,0,1,0,0
depressive,0,0,0,0,0,1,0,1,0,0
deprivation,1,0,1,1,0,1,0,1,0,0
depth,0,0,0,0,0,0,1,0,0,1
deranged,1,0,1,1,0,1,0,0,0,0
derision,1,0,1,0,0,1,0,0,0,0
derogation,1,0,1,1,0,1,0,1,0,0
derogatory,1,0,1,1,0,1,0,1,0,0
descent,0,0,0,1,0,0,0,1,0,0
desecration,1,0,1,1,0,1,0,1,0,0
desert,1,0,1,1,0,1,0,1,0,0
deserted,1,0,1,1,0,1,0,1,0,0
deserve,1,1,0,0,0,0,1,0,0,1
desist,1,0,1,0,0,1,0,0,0,0
desolation,0,0,0,1,0,1,0,1,0,0
despair,1,0,1,1,0,1,0,1,0,0
despairing,0,0,0,1,0,1,0,1,0,0
despicable,1,0,1,0,0,1,0,0,0,0
despise,1,0,1,0,0,1,0,0,0,0
despotic,0,0,0,1,0,1,0,0,0,0
despotism,1,0,1,1,0,1,0,1,0,0
destination,0,1,0,1,1,0,1,1,1,0
destitute,0,0,0,1,0,1,0,1,0,0
destroyed,1,0,0,1,0,1,0,1,0,0
destroyer,1,0,0,1,0,1,0,0,0,0
destroying,1,0,0,1,0,1,0,1,0,0
destruction,1,0,0,0,0,1,0,0,0,0
destructive,1,0,1,1,0,1,0,0,0,0
detainee,1,1,0,1,0,1,0,1,0,0
detention,0,0,0,0,0,1,0,1,0,0
deteriorate,0,0,0,1,0,1,0,1,0,0
deteriorated,0,0,1,0,0,1,0,1,0,0
deterioration,1,0,1,1,0,1,0,1,0,0
determinate,0,1,0,0,0,0,0,0,0,1
determination,0,0,0,0,0,0,1,0,0,1
detest,1,0,1,0,0,1,0,0,0,0
detonate,0,0,0,1,0,1,0,0,1,0
detract,1,0,0,0,0,1,0,0,0,0
devastate,1,0,0,1,0,1,0,1,0,0
devastating,1,0,1,1,0,1,0,1,0,1
devastation,1,0,0,1,0,1,0,1,1,0
develop,0,1,0,0,0,0,1,0,0,0
devil,1,1,1,1,0,1,0,1,0,0
devilish,0,0,1,1,0,1,0,0,0,0
devotional,0,0,0,0,0,0,1,0,0,1
devout,0,1,0,0,1,0,1,0,0,1
diabolical,1,0,1,1,0,1,0,0,0,0
diagnosis,0,1,0,1,0,1,0,0,0,1
diamond,0,0,0,0,1,0,1,0,0,0
diary,0,0,0,0,1,0,1,0,0,1
diatribe,1,0,1,0,0,1,0,0,0,0
dictator,0,0,0,1,0,1,0,0,0,0
dictatorial,1,0,0,0,0,1,0,0,0,0
dictatorship,1,1,1,1,0,1,0,1,0,0
dictionary,0,0,0,0,0,0,1,0,0,1
die,0,0,0,1,0,1,0,1,0,0
dietary,0,1,0,0,0,0,1,0,0,0
difficulties,0,0,0,0,0,1,0,1,0,0
difficulty,1,0,0,1,0,1,0,1,0,0
dignity,0,0,0,0,0,0,1,0,0,1
digress,0,1,0,0,0,1,0,0,0,0
dilapidated,0,0,1,0,0,1,0,1,0,0
diligence,0,0,0,0,0,0,1,0,0,1
diminish,0,0,0,0,0,1,0,1,0,0
diplomacy,0,1,0,0,0,0,1,0,0,1
diplomatic,0,0,0,0,0,0,1,0,0,1
dire,0,0,1,1,0,1,0,1,1,0
director,0,0,0,0,0,0,1,0,0,1
dirt,0,0,1,0,0,1,0,0,0,0
dirty,0,0,1,0,0,1,0,0,0,0
disability,0,0,0,0,0,1,0,1,0,0
disable,0,0,0,1,0,1,0,1,0,0
disabled,0,0,0,1,0,1,0,1,0,0
disagree,1,0,0,0,0,1,0,0,0,0
disagreeing,1,0,0,0,0,1,0,1,0,0
disagreement,1,0,0,0,0,1,0,1,0,0
disallowed,1,0,1,1,0,1,0,1,0,0
disappoint,1,0,1,0,0,1,0,1,0,0
disappointed,1,0,1,0,0,1,0,1,0,0
disappointing,0,0,0,0,0,1,0,1,0,0
disappointment,0,0,1,0,0,1,0,1,0,0
disapproval,0,0,0,0,0,1,0,1,0,0
disapprove,1,0,1,1,0,1,0,1,0,0
disapproved,1,0,0,0,0,1,0,1,0,0
disapproving,1,0,1,0,0,1,0,1,0,0
disaster,1,0,1,1,0,1,0,1,1,0
disastrous,1,0,0,1,0,1,0,1,0,0
discipline,0,0,0,1,0,1,0,0,0,0
disclaim,1,0,1,0,0,1,0,0,0,1
discoloration,0,0,1,0,0,1,0,0,0,0
discolored,0,0,1,0,0,1,0,1,0,0
discomfort,0,0,0,0,0,1,0,1,0,0
disconnect,0,0,0,0,0,1,0,1,0,0
disconnected,0,0,0,0,0,1,0,1,0,0
discontent,1,0,1,1,0,1,0,1,0,0
discontinuity,0,0,1,1,0,1,0,1,0,0
discord,1,0,1,0,0,1,0,0,0,0
discourage,0,0,0,1,0,1,0,1,0,0
discreet,0,1,0,0,0,0,1,0,0,0
discretion,0,1,0,0,0,0,1,0,0,1
discriminate,1,0,0,0,0,1,0,1,0,0
discriminating,0,0,1,0,0,1,0,0,0,0
discrimination,1,0,1,1,0,1,0,1,0,0
disdain,1,0,1,0,0,1,0,0,0,0
disease,1,0,1,1,0,1,0,1,0,0
diseased,0,0,1,1,0,1,0,1,0,0
disembodied,0,0,0,1,0,1,0,1,0,0
disfigured,1,0,1,1,0,1,0,1,0,0
disgrace,1,0,1,0,0,1,0,1,0,0
disgraced,1,0,1,0,0,1,0,1,0,0
disgraceful,1,0,1,0,0,1,0,0,0,0
disgruntled,1,0,1,0,0,1,0,1,0,0
disgust,1,0,1,1,0,1,0,1,0,0
disgusting,1,0,1,1,0,1,0,0,0,0
disheartened,0,0,0,0,0,1,0,1,0,0
disheartening,0,0,0,0,0,1,0,1,0,0
dishonest,1,0,1,0,0,1,0,1,0,0
dishonesty,0,0,1,0,0,1,0,0,0,0
dishonor,1,0,1,1,0,1,0,1,0,0
disillusionment,1,0,1,0,0,1,0,1,0,0
disinformation,1,0,0,1,0,1,0,0,0,0
disingenuous,0,0,1,0,0,1,0,0,0,0
disintegrate,0,0,1,1,0,1,0,0,0,0
dislike,1,0,1,0,0,1,0,0,0,0
disliked,1,0,0,0,0,1,0,1,0,0
dislocated,1,0,1,1,0,1,0,1,0,0
dismal,0,0,1,1,0,1,0,1,0,0
dismay,1,1,0,1,0,1,0,1,1,0
dismemberment,0,0,1,1,0,1,0,1,0,0
dismissal,1,0,1,1,0,1,0,1,1,0
disobedience,1,0,1,0,0,1,0,0,0,0
disobedient,1,0,0,0,0,1,0,0,0,0
disobey,1,0,1,0,0,1,0,0,0,0
disorder,0,0,0,1,0,1,0,0,0,0
disparage,1,0,1,0,0,1,0,1,0,0
disparaging,1,0,1,0,0,1,0,1,0,0
disparity,1,0,1,0,0,1,0,1,0,0
dispassionate,0,0,0,0,0,1,0,1,0,0
dispel,0,0,0,0,0,1,0,1,0,0
displaced,1,0,0,1,0,0,0,1,0,0
displeased,1,0,1,1,0,1,0,1,0,0
displeasure,0,0,1,0,0,1,0,0,0,0
disposed,0,1,0,0,0,0,1,0,0,1
dispossessed,1,0,0,1,0,1,0,1,0,0
dispute,1,0,0,0,0,1,0,0,0,0
disqualified,1,0,1,0,0,1,0,1,0,0
disqualify,0,0,0,0,0,1,0,1,0,0
disregarded,0,0,1,0,0,1,0,0,0,0
disreputable,1,0,1,1,0,1,0,0,0,0
disrespect,1,0,0,0,0,1,0,0,0,0
disrespectful,1,0,1,1,0,1,0,1,0,0
disruption,1,0,0,1,0,1,0,0,1,0
dissension,1,0,0,0,0,1,0,0,0,0
disservice,1,0,1,0,0,1,0,1,0,0
dissident,1,0,0,1,0,1,0,0,0,0
dissolution,1,0,0,1,0,1,0,1,1,0
dissonance,1,0,0,0,0,1,0,0,0,0
distaste,0,0,1,0,0,1,0,0,0,0
distasteful,0,0,1,0,0,1,0,0,0,0
distorted,0,0,1,0,0,1,0,0,0,0
distracted,1,0,0,0,0,1,0,0,0,0
distracting,1,1,0,0,0,1,0,0,0,0
distraught,0,0,0,0,0,1,0,1,0,0
distress,1,0,1,1,0,1,0,1,1,0
distressed,0,0,0,1,0,1,0,0,0,0
distressing,1,0,0,1,0,1,0,0,0,0
distrust,1,0,1,1,0,1,0,0,0,0
disturbance,1,0,0,1,0,1,0,1,1,0
disturbed,1,0,0,0,0,1,0,1,0,0
disused,1,0,0,0,0,1,0,0,0,0
ditty,0,0,0,0,1,0,1,0,0,0
divergent,0,0,0,0,0,1,0,0,1,0
diverse,0,0,0,0,0,1,1,0,0,0
diversion,0,0,0,0,0,0,1,0,1,0
divorce,1,0,1,1,0,1,0,1,1,1
doctor,0,0,0,0,0,0,1,0,0,1
doldrums,0,0,0,0,0,1,0,1,0,0
dole,0,0,0,0,0,1,0,1,0,0
dolor,0,0,0,0,0,1,0,1,0,0
dolphin,0,0,0,0,1,0,1,0,1,1
dominant,0,0,0,1,0,1,0,0,0,0
dominate,1,0,0,1,0,1,1,0,0,0
domination,1,0,0,1,0,1,0,1,0,0
dominion,0,0,0,1,0,0,0,0,0,1
don,0,0,0,0,0,0,1,0,0,1
donkey,0,0,1,0,0,1,0,0,0,0
doom,0,0,0,1,0,1,0,0,0,0
doomed,0,0,0,1,0,1,0,1,0,0
doomsday,1,1,1,1,0,1,0,1,0,0
doubt,0,0,0,1,0,1,0,1,0,1
doubtless,0,0,0,0,0,0,1,0,0,1
dove,0,1,0,0,1,0,1,0,0,1
downfall,0,0,0,1,0,1,0,1,0,0
drab,0,0,0,0,0,1,0,1,0,0
dread,0,1,0,1,0,1,0,0,0,0
dreadful,1,1,1,1,0,1,0,1,0,0
dreadfully,0,0,1,1,0,1,0,1,1,0
dreary,0,0,0,0,0,1,0,1,0,0
drivel,0,0,1,0,0,1,0,0,0,0
drown,0,0,0,1,0,1,0,1,0,0
drunken,0,0,1,0,0,1,0,0,0,0
dubious,0,0,0,1,0,1,0,0,0,1
duel,1,1,0,1,0,0,0,0,0,0
dull,0,0,0,0,0,1,0,1,0,0
dumps,1,0,0,0,0,1,0,1,0,0
dungeon,0,0,0,1,0,1,0,0,0,0
dupe,1,0,0,0,0,1,0,0,0,0
duplicity,1,0,0,0,0,1,0,0,0,0
durability,0,0,0,0,0,0,1,0,0,1
durable,0,0,0,0,0,0,1,0,0,1
duress,1,0,1,1,0,1,0,1,0,0
dutiful,0,1,0,0,0,0,1,0,0,1
dwarfed,0,0,0,1,0,1,0,1,0,0
dying,1,0,1,1,0,1,0,1,0,0
dysentery,0,0,1,0,0,1,0,1,0,0
eager,0,1,0,0,1,0,1,0,1,1
eagerness,0,1,0,0,1,0,1,0,0,1
earthquake,1,0,0,1,0,1,0,1,1,0
ecstasy,0,1,0,0,1,0,1,0,0,0
ecstatic,0,1,0,0,1,0,1,0,1,0
edict,0,0,0,1,0,1,0,0,0,0
edification,0,1,0,0,1,0,1,0,0,1
educational,0,0,0,0,0,0,1,0,0,1
effective,0,0,0,0,0,0,1,0,0,1
efficient,0,1,0,0,0,0,1,0,0,1
egotistical,0,0,1,0,0,1,0,0,0,0
egregious,1,0,1,0,0,1,0,0,0,0
ejaculation,0,1,0,0,1,0,1,0,1,1
elated,0,0,0,0,1,0,1,0,0,0
elder,0,0,0,0,0,0,1,0,0,1
elders,0,0,0,0,0,0,1,0,0,1
elect,0,0,0,0,0,0,1,0,0,1
electric,0,0,0,0,1,0,1,0,1,0
elegance,0,1,0,0,1,0,1,0,0,1
elegant,0,0,0,0,1,0,1,0,0,0
elevation,0,1,0,1,1,0,1,0,0,1
elf,1,0,1,1,0,0,0,0,0,0
elimination,1,0,1,1,0,1,0,1,0,0
elite,0,1,0,0,1,0,1,0,0,1
elucidate,0,0,0,0,0,0,1,0,0,1
elusive,0,0,0,0,0,1,0,0,1,0
emaciated,0,0,0,1,0,1,0,1,0,0
emancipation,0,1,0,0,1,0,1,0,0,0
embarrass,0,0,0,0,0,1,0,1,0,0
embarrassment,0,0,0,1,0,1,0,1,1,0
embolism,0,0,0,1,0,1,0,1,0,0
embrace,0,1,0,0,1,0,1,0,1,1
emergency,0,0,0,1,0,1,0,1,1,0
